,,'Holiday Inn at Beacon Hill', 'Holiday Inn Beacon Hill Boston', 0.93877551020408168
,,'Westin Book Cadillac', 'Westin Book Cadillac Hotel Detroit', 1.0
,,'Hyatt Plalce Reno Tahoe Airport', 'Hyatt Place Hotel Tahoe Airport Reno', 0.94444444444444442
,,'Country Inn and Suites West', 'Country Inn and Suites Airport Milwaukee', 0.83018867924528306
,,'Marriott', 'Marriott Hotel Phoenix Mesa', 1.0
,,'Westin', 'Westin Hotel Cincinnati', 1.0
,,'Holiday Inn Hotel and Suites', 'Holiday Inn Hotel & Suites Bakersfield', 1.0
,,'Fairfield Inn', 'Fairfield Inn Galesburg', 1.0
,,'JW Marriott', 'JW Marriott Hotel Houston', 1.0
,,'Hilton Palm Springs', 'Hilton Hotel Palm Springs', 1.0
,,'Holiday Inn Express Williamsburg Square', 'Holiday Inn Express Williamsburg Square State College', 1.0
,,'Holiday Inn Sunspree Resort', 'Holiday Inn Sunspree Resort Corpus Christi', 1.0
,,'Hyatt Capitol Square', 'Hyatt Capitol Square Hotel Columbus (Ohio)', 0.83333333333333337
,,'La Quinta Inn', 'La Quinta Inn Cocoa Beach', 1.0
,,'Hard Rock Hotel', 'Hard Rock Hotel Chicago', 1.0
,,'Hyatt Place Cityview', 'Hyatt Place Hotel Cityview Fort Worth', 1.0
,,'Quality Inn and Suites Hermosa Beach', 'Quality Inn & Suites Hermosa Beach', 1.0
,,'Hotel Zoso', 'Hotel Zoso Palm Springs', 1.0
,,'Courtyard', 'Courtyard Hotel Mobile', 1.0
,,'Hyatt Regency', 'Hyatt Regency Hotel Atlanta', 1.0
,,'Best Western Convention Center', 'Best Western Convention Center Hotel New York City', 1.0
,,'Best Western Mission Inn', 'Best Western Ramona Inn Monterey', 0.85106382978723405
,,'Homestead Galleria', 'Homestead Hotel Galleria Houston', 1.0
,,'Hotel Palomar', 'Palomar Hotel San Francisco', 1.0
,,'Daytona Beach Resort and Conference Center', 'Daytona Beach Resort & Conference Center', 1.0
,,'Holiday Inn Express And Suites Hadley', 'Holiday Inn Express Hotel & Suites Amherst Hadley', 1.0
,,'W Hotel', 'W Hotel Boston', 1.0
