delaware
,wilmington
,,newark - christiana
,,,days inn kent,Days Inn Kent (Washington)
,,,extended stay deluxe renton,Extended Stay Deluxe Hotel Seattle Renton
,,,homestead southcenter,Homestead Studio Suites Seattle Southcenter Tukwila

,,,Hotel Matched : 8,Hotel Not Matched : 5

,,redmond - kirkland
,,,heathman kirkland,The Heathman Hotel Kirkland
,,,marriott town center,Marriott Town Center Hotel Redmond (Washington)
,,,courtyard kirkland,Courtyard Hotel Seattle Bellevue (Washington)
,,,fairfield inn bellevue,Fairfield Inn Seattle Bellevue (Washington)

,,,Hotel Matched : 4,Hotel Not Matched : 1

,,bothell
,,,residence inn,Residence Inn Central Expressway Dallas
,,,country inn and suites,Country Inn & Suites Bothell
,,,holiday inn express,Holiday Inn Express Canyon Park Bothell

,,,Hotel Matched : 3,Hotel Not Matched : 0

,tacoma
,,tacoma
,,,courtyard,Courtyard Hotel Downtown Tacoma
,,,hotel murano,Hotel Murano Tacoma
,,,silver cloud inn,Silver Cloud Inn Tacoma
,,,extended stayamerica fife,Extended Stay America Hotel Tacoma Fife

,,,Hotel Matched : 4,Hotel Not Matched : 0

,,olympia
,,,red lion,Red Lion Hotel Olympia (Washington)
,,,guesthouse inn and suites tumwater,GuestHouse International Inn & Suites Tumwater
,,,extended stayamerica tumwater,Extended Stay America Hotel Olympia Tumwater

,,,Hotel Matched : 3,Hotel Not Matched : 0

,,auburn - federal way
,,,clarion,Clarion Hotel Federal Way
,,,extended stayamerica federal way,Extended Stay America Seattle Hotel Federal Way

,,,Hotel Matched : 2,Hotel Not Matched : 1

,,lakewood - tacoma south
,,,red lion,Red Lion Hotel Tacoma
,,,shilo inn,Shilo Inn and Suites Tacoma

,,,Hotel Matched : 2,Hotel Not Matched : 0

,,puyallup
,,,best western park plaza,Best Western Park Plaza Hotel Puyallup
,,,crossland economy studios,Crossland Economy Studios Tacoma Puyallup

,,,Hotel Matched : 2,Hotel Not Matched : 0

,moses lake
,,moses lake
,,,shilo inn,Shilo Inn Suites Moses Lake

,,,Hotel Matched : 1,Hotel Not Matched : 0

,richland - kennewick
,,kennewick

,,,Hotel Matched : 0,Hotel Not Matched : 1

,,richland
,,,red lion,Red Lion Hotel Hanford House Richland (Washington)

,,,Hotel Matched : 1,Hotel Not Matched : 0


kansas
,emporia
,,,best western,Best Western Hospitality House Emporia (Kansas)

,,,Hotel Matched : 1,Hotel Not Matched : 0

,lawrence
,,,holiday inn,Holiday Inn Lawrence

,,,Hotel Matched : 1,Hotel Not Matched : 0

,wichita
