 Logan Intl Airport BOS - Saugus| Revere,2,,,,,,
0:30:00,55,59, 2011-01-09 22:03:00 , 2011-01-09 22:33:00,Recommandation changed:100||95,,
,,,,,,,
 Willowbrook - Cypress Station| North Houston,2,,,,,,
20:43:00,29,35, 2011-01-04 23:50:00 , 2011-01-05 20:33:00,Recommandation changed:||85,,
0:30:00,35,29, 2011-01-05 20:33:00 , 2011-01-05 21:03:00,Recommandation changed:85||,,
1:00:00,29,35, 2011-01-05 21:03:00 , 2011-01-05 22:03:00,Recommandation changed:||85,,
0:30:00,35,29, 2011-01-05 22:03:00 , 2011-01-05 22:33:00,Recommandation changed:85||,,
2:00:00,29,33, 2011-01-05 22:33:00 , 2011-01-06 00:33:00,,,
0:30:00,33,29, 2011-01-06 00:33:00 , 2011-01-06 01:03:00,,,
1:30:00,29,33, 2011-01-06 01:03:00 , 2011-01-06 02:33:00,,,
16:00:00,33,29, 2011-01-06 02:33:00 , 2011-01-06 18:33:00,,,
1:30:00,29,33, 2011-01-06 18:33:00 , 2011-01-06 20:03:00,,,
1:30:00,33,29, 2011-01-06 20:03:00 , 2011-01-06 21:33:00,,,
1:30:00,29,33, 2011-01-06 21:33:00 , 2011-01-06 23:03:00,,,
0:30:00,33,29, 2011-01-06 23:03:00 , 2011-01-06 23:33:00,,,
0:30:00,29,33, 2011-01-06 23:33:00 , 2011-01-07 00:03:00,,,
0:30:00,33,29, 2011-01-07 00:03:00 , 2011-01-07 00:33:00,,,
9:00:00,29,33, 2011-01-07 00:33:00 , 2011-01-07 09:33:00,,,
0:30:00,33,29, 2011-01-07 09:33:00 , 2011-01-07 10:03:00,,,
10:30:00,29,35, 2011-01-07 10:03:00 , 2011-01-07 20:33:00,Recommandation changed:||85,,
0:30:00,35,29, 2011-01-07 20:33:00 , 2011-01-07 21:03:00,Recommandation changed:85||,,
22:30:00,29,33, 2011-01-07 21:03:00 , 2011-01-08 19:33:00,,,
0:30:00,33,29, 2011-01-08 19:33:00 , 2011-01-08 20:03:00,,,
3:30:00,29,33, 2011-01-08 20:03:00 , 2011-01-08 23:33:00,,,
0:30:00,33,29, 2011-01-08 23:33:00 , 2011-01-09 00:03:00,,,
10:30:00,29,33, 2011-01-09 00:03:00 , 2011-01-09 10:33:00,,,
0:30:00,33,29, 2011-01-09 10:33:00 , 2011-01-09 11:03:00,,,
10:00:00,29,33, 2011-01-09 11:03:00 , 2011-01-09 21:03:00,,,
0:30:00,33,29, 2011-01-09 21:03:00 , 2011-01-09 21:33:00,,,
,,,,,,,
 Logan Intl Airport BOS - Saugus| Revere,4,,,,,,
,,,,,,,
